ypid	entity_name	address	city	state	country	segment	review_count	rank	primary_website
9AB46CA55E2296D	Harbor Freight	6420 W Fullerton Ave	Chicago	IL	US	retail	1003	32957	https://www.harborfreight.com/
1C597BB6B0AD12BD	Walmart Supercenter	1091 Mill Creek Rd	Allentown	PA	US	retail	6275	2700	https://www.walmart.com/
F1217DD05A21364A	STK Steakhouse Midtown NYC	1114 6th Ave	New York	NY	US	restaurant	35099	261	https://stksteakhouse.com/
E031EFCFE184CB95	Twisted Biscuit Brunch Co.	1071 S State Rte 157	Edwardsville	IL	US	restaurant	3870	37958	https://www.twistedbiscuitbc.com/
97310C0A3A98F6B4	Circuit of the Americas	9201 Circuit of the Americas Blvd	Del Valle	TX	US	entertainment	17040	209	http://circuitoftheamericas.com/
2126DAAC54CF6144	Hibachi Buffet	5623 Sunrise Blvd	Citrus Heights	CA	US	restaurant	1091	55479	http://hibachibuffetsacramento.com/
C1A87FF9164CCDBC	Sublime Doughnuts	535 10th St NW	Atlanta	GA	US	restaurant	2955	60555	http://www.sublimedoughnuts.com/
E20C4479A9689C70	Fox River Mall	4301 W Wisconsin Ave	Appleton	WI	US	retail	8410	7883	https://www.foxrivermall.com/
CCF477E1E8080236	The Bethesdan Hotel	8120 Wisconsin Ave	Bethesda	MD	US	hotel	1713	54603	https://www.hilton.com/
2F0CEBD2AEBB3D64	Biscuit Head	417 Biltmore Ave	Asheville	NC	US	restaurant	3284	47774	http://biscuitheads.com/
